"","lyrics"
"1019","wanna pick piece somebody break heart somebody twice smart somebody swear true leave learn misery love company mean wanna break heart bits puzzle fit fine discover revenge sweet applaud seat somebody break heart like break somebody break heart like break yeah discover revenge sweet applaud seat somebody break heart like break somebody break heart like break yeah"
"1020","want want eye constantly haunt lips thrill know heart sweep away emotion high star great ocean true high star true"
"1021","take kiss teach care remnant affair take gladly give leave save good lips want loose arm goodbye leave eye dear take heart"
"1022","offer wish world treasure moon star build castle tower door heaven things come true build castle tower door heaven things come true"
"1023","music start hearts drum land play sons motherland sendin message peace everybody come oceans chain shame ease pain orleans rampart street sound give beat talkin bout jelly roll satch talkin bout music match music bear gonna horn sound clear jazz music jazz music music pop cat stay cause people play north take riverboat shuffle cities lot hustle bustle chicago apple scene forefathers know crew know jazz music jazz music music call jazz razzmatazz flavor pizazz band beat neat unique swing feet course count basie smooth tasty prez lady dizzy playin bring people foreign land oceans desert sand echo distant sound drum rise days begin music tribute give jazz music jazz music"
"1024","surrender surrender moment surrender tender need time swiftly fly leave sighin deny long enfold tender arm hold tight feel temptation facination near dersire lips burn heart yearn surrender dear time swiftly fly leave sighin deny long enfold tender arm hold tight feel temptation facination near dersire lips burn heart yearn surrender dear"
"1025","hominy grit sugarcured great bowl gravy magnolias azaleas bloom table lot elbow room pass mammy fry okie good black eye peas rack biscuits coffee black fee style grand sorghum molasses hominy grit shut mouth great slab sugarcured half gallon thicken gravy brother gonna mighty like stuff like magnolias honeysuckles know bloom table scoot lot elbow room pass mammyfried okie good black eye peas hayrack biscuits coffee black fee style grand sorghum molasses"
"1026","blue smoke go drift deep blue think home sadly sigh love tear eye finally say good byes sail away long stay promise true blue smoke go drift deep blue memories home blue smoke go drift deep blue memories home"
"1027","know dream dreamer know know dream hold mind afraid kiss vanish dream mistake wide awake know dream look mistake wide awake know dream look"
"1028","corner representin come stay lay shade like silhouette threat return groove somethin size nothin dime girls sport time basketball court think wrath baby come hittin standin nail bite tremblin plead innocent things menacin ladies gentlemen world renown come dark gable hand high testify definitely cause spot definitely look tight party tonight definitely percent proof help raise roof definitely somethin bout buy solid flow liquefy beat plus street plus sweet mean shit complete thank right real skillfully hard tell liver shooken like iverson talk sayin nothin listeners hittin rewind button thinkin maybe bring think wise thing casualty audacity thinkin fast massively drop skills gradually hold like gravity naturally come flow like water game order look simpin playa hata attemptin grinch steal pimpin cram understand angle want tangle actin brand nothin roll like bamboo dismantle handle baby count sure thing inside hood like drawstring wack restrict rhyme kick girls stick victim thinkin ballin callin bluffuh nuff alright come place black truly"
"1029","walk street sorrow boulevard break dream gigolo gigolette kiss regret forget break dream laugh today tomorrow behold shatter scheme gigolo gigolette eye tear tell break dream walk leave soul cathedral borrow long gigolo gigolette sing song dance boulevard break dream walk leave soul cathedral borrow long gigolo gigolette sing song dance boulevard break dream"
"1030","years heart sigh dearest guide near clear dear near clear dear"
"1031","know roast boys spit kruthik turn bout wear ugly crocs rest goddamn life cause know flow stop kruthik karthik matter know cause chicks know blow good school chicks cause know suck ditas try curve go neha shit think pass real talk common cause short cause go hard put overdrive cause shit kruthik survive know kruthik prolly jack dicks long slice wrap like chipotle guac extra know bout harder texas know years whippin round black prius fuck chicks leave say gracias wear short cause hella hairy away know flow kinda scary overwhelm prolly heat okay need help sweet real talk spit bar leave tiny scout fill scar safe flow rack rack rack october rayhan watch"
